,Player,Age,Pos,G,GS,Cmp,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Yds.1,NY/A,ANY/A,4QC,GWD▼,Player-additional,points
0,Ben Roethlisberger,39,QB,16,16,390,64.5,3740,22,3.6,10,1.7,188,59,6.2,6.2,9.6,233.8,86.8,35.6,239,5.44,5.43,6.0,7.0,RoetBe00,217.6
1,Derek Carr,30,QB,17,17,428,68.4,4804,23,3.7,14,2.2,217,61,7.7,7.4,11.2,282.6,94.0,52.4,241,6.85,6.6,3.0,6.0,CarrDe02,256.16
2,Justin Herbert*,23,QB,17,17,443,65.9,5014,38,5.7,15,2.2,256,72,7.5,7.6,11.3,294.9,97.7,65.6,214,6.83,6.95,5.0,5.0,HerbJu00,322.56
3,Tom Brady*,44,QB,17,17,485,67.5,5316,43,6.0,12,1.7,269,62,7.4,7.8,11.0,312.7,102.1,68.1,144,6.98,7.41,3.0,5.0,BradTo00,360.64
4,Lamar Jackson*,24,QB,12,12,246,64.4,2882,16,4.2,13,3.4,135,49,7.5,6.9,11.7,240.2,87.0,50.7,190,6.41,5.78,4.0,4.0,JackLa00,153.28
5,Matthew Stafford,33,QB,17,17,404,67.2,4886,41,6.8,17,2.8,233,79,8.1,8.2,12.1,287.4,102.9,63.8,243,7.36,7.45,3.0,4.0,StafMa00,325.44
6,Kirk Cousins*,33,QB,16,16,372,66.3,4221,33,5.9,7,1.2,192,64,7.5,8.1,11.3,263.8,103.1,52.3,197,6.83,7.42,3.0,4.0,CousKi00,286.84
7,Matt Ryan,36,QB,17,17,375,67.0,3968,20,3.6,12,2.1,195,64,7.1,6.8,10.6,233.4,90.4,46.1,274,6.16,5.92,3.0,4.0,RyanMa00,214.72
8,Ryan Tannehill,33,QB,17,17,357,67.2,3734,21,4.0,14,2.6,192,57,7.0,6.6,10.5,219.6,89.6,55.9,327,5.89,5.53,3.0,4.0,TannRy00,205.36
9,Taylor Heinicke,28,QB,16,15,321,65.0,3419,20,4.0,15,3.0,167,73,6.9,6.4,10.7,213.7,85.9,39.9,278,5.9,5.39,3.0,4.0,HeinTa00,186.76
10,Patrick Mahomes*,26,QB,17,17,436,66.3,4839,37,5.6,13,2.0,260,75,7.4,7.6,11.1,284.6,98.5,62.2,146,6.84,7.07,3.0,3.0,MahoPa00,315.56
11,Jimmy Garoppolo,30,QB,15,15,301,68.3,3810,20,4.5,12,2.7,172,83,8.6,8.3,12.7,254.0,98.7,53.3,201,7.68,7.38,3.0,3.0,GaroJi00,208.4
12,Joe Burrow,25,QB,16,16,366,70.4,4611,34,6.5,14,2.7,202,82,8.9,9.0,12.6,288.2,108.3,54.3,370,7.43,7.51,2.0,3.0,BurrJo01,292.44
13,Jared Goff,27,QB,14,14,332,67.2,3245,19,3.8,8,1.6,162,63,6.6,6.6,9.8,231.8,91.5,39.5,280,5.6,5.64,2.0,2.0,GoffJa00,189.8
14,Jalen Hurts,23,QB,15,15,265,61.3,3144,16,3.7,9,2.1,143,91,7.3,7.1,11.9,209.6,87.2,48.5,150,6.54,6.35,2.0,2.0,HurtJa00,171.76
15,Dak Prescott,28,QB,16,16,410,68.8,4449,37,6.2,10,1.7,227,51,7.5,8.0,10.9,278.1,104.2,54.6,144,6.88,7.34,1.0,2.0,PresDa01,305.96
16,Aaron Rodgers*+,38,QB,16,16,366,68.9,4115,37,7.0,4,0.8,213,75,7.7,8.8,11.2,257.2,111.9,69.1,188,7.0,8.0,1.0,2.0,RodgAa00,304.6
