,Player,Age,Pos,G,GS,Ctch%,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Fmb,Player-additional,points
0,Stefon Diggs*+,27,WR,16,15,76.50%,1535,12.1,8,73,55,7.9,95.9,0.0,DiggSt00,328.5
1,Davante Adams*+,28,WR,14,14,77.20%,1374,11.9,18,73,56,8.2,98.1,1.0,AdamDa01,358.4
2,DeAndre Hopkins*,28,WR,16,16,71.90%,1407,12.2,6,75,60,7.2,87.9,3.0,HopkDe00,285.7
3,Darren Waller*,28,TE,16,15,73.80%,1196,11.2,9,69,38,6.7,74.8,2.0,WallDa01,276.6
4,Travis Kelce*+,31,TE,15,15,72.40%,1416,13.5,11,79,45,7.0,94.4,1.0,KelcTr00,310.6
5,Allen Robinson,27,WR,16,16,67.50%,1250,12.3,6,68,42,6.4,78.1,0.0,RobiAl02,263.0
6,Keenan Allen*,28,WR,14,13,68.00%,992,9.9,8,61,28,7.1,70.9,3.0,AlleKe00,241.2
7,Tyler Lockett,28,WR,16,16,75.80%,1054,10.5,10,57,47,6.3,65.9,1.0,LockTy00,263.4
8,JuJu Smith-Schuster,24,WR,16,14,75.80%,831,8.6,9,48,31,6.1,51.9,3.0,SmitJu00,228.1
9,Robbie Anderson,27,WR,16,16,69.90%,1096,11.5,3,49,75,5.9,68.5,1.0,AndeRo04,220.6
10,Amari Cooper,26,WR,16,15,70.80%,1114,12.1,5,54,69,5.8,69.6,0.0,CoopAm00,233.4
11,Cooper Kupp,27,WR,15,12,74.20%,974,10.6,3,45,55,6.1,64.9,1.0,KuppCo00,205.4
12,Calvin Ridley,26,WR,15,15,62.90%,1374,15.3,9,65,63,6.0,91.6,1.0,RidlCa00,279.4
13,Robert Woods,28,WR,16,16,69.80%,936,10.4,6,46,56,5.6,58.5,2.0,WoodRo02,215.6
14,Justin Jefferson*,21,WR,16,14,70.40%,1400,15.9,7,58,71,5.5,87.5,1.0,JeffJu00,268.0
15,Diontae Johnson,24,WR,15,13,61.10%,923,10.5,7,45,47,5.9,61.5,2.0,JohnDi01,218.3
16,Tyreek Hill*+,26,WR,15,15,64.40%,1276,14.7,15,57,75,5.8,85.1,1.0,HillTy00,302.6
17,Terry McLaurin,25,WR,15,15,64.90%,1118,12.9,4,51,68,5.8,74.5,1.0,McLaTe00,220.8
18,Alvin Kamara*,25,RB,15,10,77.60%,756,9.1,5,35,52,5.5,50.4,1.0,KamaAl00,186.6
19,D.K. Metcalf*,23,WR,16,16,64.30%,1303,15.7,10,63,62,5.2,81.4,1.0,MetcDK00,271.3
20,Cole Beasley,31,wr,15,10,76.60%,967,11.8,4,53,35,5.5,64.5,0.0,BeasCo00,202.7
21,Brandin Cooks,27,WR,15,15,68.10%,1150,14.2,6,51,57,5.4,76.7,0.0,CookBr00,232.0
22,J.D. McKissic,27,rb,16,7,72.70%,589,7.4,2,32,29,5.0,36.8,3.0,McKiJ.00,144.9
23,Tyler Boyd,26,wr,15,8,71.80%,841,10.6,4,43,72,5.3,56.1,1.0,BoydTy00,185.1
24,Curtis Samuel,24,WR,15,5,79.40%,851,11.1,3,39,44,5.1,56.7,1.0,SamuCu00,178.1
25,Marvin Jones,30,WR,16,16,66.10%,978,12.9,9,52,43,4.8,61.1,0.0,JoneMa02,227.8
26,CeeDee Lamb,21,WR,16,14,66.70%,935,12.6,5,46,52,4.6,58.4,2.0,LambCe00,193.5
27,Adam Thielen,30,WR,15,15,68.50%,925,12.5,14,52,51,4.9,61.7,0.0,ThieAd00,250.5
28,Russell Gage,24,wr,16,8,66.10%,786,10.9,4,50,35,4.5,49.1,0.0,GageRu00,174.6
29,Jarvis Landry,28,WR,15,14,71.30%,840,11.7,3,46,32,4.8,56.0,2.0,LandJa00,170.0
30,Logan Thomas,29,TE,16,15,65.50%,670,9.3,6,36,30,4.5,41.9,0.0,ThomLo00,175.0
31,A.J. Brown*,23,WR,14,12,66.00%,1075,15.4,11,55,73,5.0,76.8,2.0,BrowAJ00,239.5
32,Mike Evans,27,WR,16,16,64.20%,1006,14.4,13,55,50,4.4,62.9,0.0,EvanMi00,248.6
33,Tee Higgins,21,WR,16,14,62.00%,908,13.6,6,52,67,4.2,56.8,1.0,HiggTe00,191.8
34,T.J. Hockenson*,23,TE,16,16,66.30%,723,10.8,6,40,51,4.2,45.2,1.0,HockTJ00,173.3
35,D.J. Moore,23,WR,15,14,55.90%,1193,18.1,4,53,74,4.4,79.5,0.0,MoorD.00,209.3
