player,age,pos,g,gs,ctch,yds,yr,td,d,lng,rg,yg,fmb,player_additional,points
Stefon Diggs,26,WR,15,15,67.00%,1130,17.9,6,41,66,4.2,75.3,4,DiggSt00,328.5
Davante Adams*,27,WR,12,12,65.40%,997,12,5,54,58,6.9,83.1,2,AdamDa01,358.4
DeAndre Hopkins*+,27,WR,15,15,69.30%,1165,11.2,7,68,43,6.9,77.7,0,HopkDe00,285.7
Darren Waller,27,TE,16,16,76.90%,1145,12.7,3,53,75,5.6,71.6,1,WallDa01,276.6
Travis Kelce*,30,TE,16,16,71.30%,1229,12.7,5,65,47,6.1,76.8,1,KelcTr00,310.6
Allen Robinson,26,WR,16,15,63.60%,1147,11.7,7,63,49,6.1,71.7,0,RobiAl02,263
Keenan Allen*,27,WR,16,16,69.80%,1199,11.5,6,63,45,6.5,74.9,0,AlleKe00,241.2
Tyler Lockett,27,WR,16,16,74.50%,1057,12.9,8,53,44,5.1,66.1,1,LockTy00,263.4
JuJu Smith-Schuster,23,WR,12,12,60.00%,552,13.1,3,23,76,3.5,46,1,SmitJu00,228.1
Robbie Anderson,26,WR,16,15,54.20%,779,15,5,35,92,3.3,48.7,1,AndeRo04,220.6
Amari Cooper*,25,WR,16,16,66.40%,1189,15.1,8,54,53,4.9,74.3,0,CoopAm00,233.4
Cooper Kupp,26,WR,16,14,70.10%,1161,12.4,10,51,66,5.9,72.6,3,KuppCo00,205.4
Calvin Ridley,25,WR,13,10,67.70%,866,13.7,7,47,36,4.8,66.6,0,RidlCa00,279.4
Robert Woods,27,WR,15,15,64.70%,1134,12.6,2,54,48,6,75.6,0,WoodRo02,215.6
Diontae Johnson,23,WR,16,12,64.10%,680,11.5,5,31,45,3.7,42.5,5,JohnDi01,218.3
Tyreek Hill*,25,WR,12,12,65.20%,860,14.8,7,39,57,4.8,71.7,0,HillTy00,302.6
Terry McLaurin,24,WR,14,14,62.40%,919,15.8,7,43,75,4.1,65.6,0,McLaTe00,220.8
Alvin Kamara*,24,RB,14,9,83.50%,533,6.6,1,28,41,5.8,38.1,4,KamaAl00,186.6
D.K. Metcalf,22,WR,16,15,58.00%,900,15.5,7,39,54,3.6,56.3,3,MetcDK00,271.3
Cole Beasley,30,WR,15,10,63.20%,778,11.6,6,37,51,4.5,51.9,0,BeasCo00,202.7
Brandin Cooks,26,WR,14,14,58.30%,583,13.9,2,32,57,3,41.6,0,CookBr00,232
J.D. McKissic,26,wr,16,3,81.00%,233,6.9,1,7,26,2.1,14.6,0,McKiJ.00,144.9
Tyler Boyd,25,WR,16,15,60.80%,1046,11.6,5,51,47,5.6,65.4,2,BoydTy00,185.1
Curtis Samuel,23,WR,16,15,51.40%,627,11.6,6,36,44,3.4,39.2,0,SamuCu00,178.1
Marvin Jones,29,WR,13,11,68.10%,779,12.6,9,41,47,4.8,59.9,0,JoneMa02,227.8
Adam Thielen,29,WR,10,10,62.50%,418,13.9,6,18,44,3,41.8,0,ThieAd00,250.5
Russell Gage,23,wr,16,4,66.20%,446,9.1,1,25,19,3.1,27.9,1,GageRu00,174.6
Jarvis Landry*,27,WR,16,16,60.10%,1174,14.1,6,55,65,5.2,73.4,0,LandJa00,170
Logan Thomas,28,qb,16,3,57.10%,173,10.8,1,10,17,1,10.8,0,ThomLo00,175
A.J. Brown,22,WR,16,11,61.90%,1051,20.2,8,39,91,3.3,65.7,1,BrowAJ00,239.5
Mike Evans*,26,WR,13,13,56.80%,1157,17.3,8,54,67,5.2,89,0,EvanMi00,248.6
T.J. Hockenson,22,te,12,7,54.20%,367,11.5,2,19,39,2.7,30.6,0,HockTJ00,173.3
D.J. Moore,22,WR,15,15,64.40%,1175,13.5,4,63,52,5.8,78.3,2,MoorD.00,209.3
Sterling Shepard,26,WR,10,10,68.70%,576,10.1,3,29,36,5.7,57.6,0,ShepSt00,149.6
Corey Davis,24,TE,15,11,62.30%,601,14,2,33,38,2.9,40.1,1,DaviCo03,191.4
Chris Godwin*,23,WR,14,14,71.10%,1333,15.5,9,63,71,6.1,95.2,0,GodwCh00,189
Evan Engram,25,TE,8,6,64.70%,467,10.6,3,23,75,5.5,58.4,0,EngrEv00,132.4
Nyheim Hines,23,rb,16,2,75.90%,320,7.3,0,15,21,2.8,20,1,HineNy00,135.2
DeVante Parker,26,WR,16,14,56.30%,1202,16.7,9,58,51,4.5,75.1,0,ParkDe01,164.3
Dalton Schultz,23,te,16,0,50.00%,6,6,0,0,6,0.1,0.4,0,SchuDa00,146.5
Noah Fant,22,TE,16,11,60.60%,562,14.1,3,23,75,2.5,35.1,1,FantNo00,147.3
Emmanuel Sanders,32,0,17,16,68.00%,869,13.2,5,41,75,3.9,51.1,0,SandEm00,161.6
Hunter Henry,25,TE,12,12,72.40%,652,11.9,5,36,30,4.6,54.3,1,HenrHu00,145.3
Jamison Crowder,26,WR,16,12,63.90%,833,10.7,6,41,41,4.9,52.1,0,CrowJa00,164.9
Mike Davis,26,0,12,1,87.50%,22,3.1,0,1,7,0.6,1.8,0,DaviMi01,106.3
Michael Gallup,23,WR,14,12,58.40%,1107,16.8,6,50,62,4.7,79.1,0,GallMi00,173.3
Jakobi Meyers,23,wr,15,1,63.40%,359,13.8,0,17,35,1.7,23.9,0,MeyeJa01,129.9
Mark Andrews*,24,te,15,4,65.30%,852,13.3,10,44,51,4.3,56.8,2,AndrMa00,166.1
Marquise Brown,22,wr,14,11,64.80%,584,12.7,7,24,83,3.3,41.7,0,BrowMa04,182.9
Eric Ebron,26,te,11,2,59.60%,375,12.1,3,20,48,2.8,34.1,0,EbroEr00,139.8
T.Y. Hilton,30,WR,10,10,66.20%,501,11.1,5,24,35,4.5,50.1,0,HiltT.00,162.2
Hayden Hurst,26,te,16,4,76.90%,349,11.6,2,16,61,1.9,21.8,0,HursHa00,149.1
Hunter Renfrow,24,wr,13,4,69.00%,605,12.3,4,30,65,3.8,46.5,1,RenfHu00,129.6
Keelan Cole,26,wr,16,1,68.60%,361,15,3,19,55,1.5,22.6,0,ColeKe00,149.2
Austin Ekeler,24,rb,16,8,85.20%,993,10.8,8,42,84,5.8,62.1,3,EkelAu00,104.3
Larry Fitzgerald,36,WR,16,16,68.80%,804,10.7,4,40,54,4.7,50.3,1,FitzLa00,100.9
David Montgomery,22,rb,16,8,71.40%,185,7.4,1,7,30,1.6,11.6,2,MontDa01,107.8
DJ Chark*,23,WR,15,14,61.90%,1008,13.8,8,42,69,4.9,67.2,0,CharDJ00,153.6
Chase Edmonds,23,rb,13,2,57.10%,105,8.8,1,5,31,0.9,8.1,0,EdmoCh00,113.2
Will Fuller,25,WR,11,11,69.00%,670,13.7,3,26,54,4.5,60.9,1,FullWi01,188.9
Mike Gesicki,24,te,16,5,57.30%,570,11.2,5,25,34,3.2,35.6,1,GesiMi00,159.3
Greg Ward,24,wr,7,3,70.00%,254,9.1,1,18,38,4,36.3,0,WardGr02,126.9
Ezekiel Elliott*,24,RB,16,16,76.10%,420,7.8,2,21,27,3.4,26.3,3,ElliEz00,85.8
Josh Reynolds,24,wr,16,2,48.80%,326,15.5,1,15,31,1.3,20.4,0,ReynJo00,121.8
Robert Tonyan,25,te,11,1,66.70%,100,10,1,4,28,0.9,9.1,0,TonyRo00,176.6
Julio Jones*,30,WR,15,15,63.10%,1394,14.1,6,77,54,6.6,92.9,1,JoneJu02,146.1
Tim Patrick,26,wr,8,2,51.60%,218,13.6,0,14,38,2,27.3,0,PatrTi00,161.2
Jimmy Graham,33,TE,16,10,63.30%,447,11.8,3,23,48,2.4,27.9,1,GrahJi00,141.6
Darius Slayton,22,WR,14,9,57.10%,740,15.4,8,32,55,3.4,52.9,0,SlayDa01,141.1
